2s,2c,2h,2d,3s,3c,3h,3d,4s,4c,4h,4d,5s,5c,5h,5d,6s,6c,6h,6d,7s,7c,7h,7d,8s,8c,8h,8d,9s,9c,9h,9d,Ts,Tc,Th,Td,Js,Jc,Jh,Jd,Qs,Qc,Qh,Qd,Ks,Kc,Kh,Kd,As,Ac,Ah,Ad
1917,2001,1940,1932,1965,1934,1949,1874,1912,1869,1878,1854,1936,1905,1882,1964,1933,1940,1908,1850,1884,1900,1916,2002,1895,1955,1925,1934,1946,1945,1933,1971,1895,1943,1983,1896,1993,1880,1982,1942,1939,1916,1891,1885,1883,2011,1890,1915,1982,1841,1897,1887
2738,1954,1883,1854,1903,1906,1896,1900,1996,1874,1953,1908,1887,1913,1998,1880,1878,1888,1902,1871,1813,1901,1971,1877,1894,1885,1899,1896,1903,1910,1895,1932,1884,1817,1896,1953,1935,1843,1902,1875,1966,1983,1895,1891,1930,1920,1958,1875,1892,1921,1944,1962
2547,2546,1977,1856,1876,1904,1949,1877,1858,1944,1850,1890,1866,1902,1869,1924,1898,1904,1937,1900,1890,1860,1859,1907,1902,1874,1861,1931,1983,1804,1951,1840,1943,1896,2007,1915,1809,1810,1816,1946,1903,1925,1889,1936,1952,1975,1967,1823,1876,1815,1903,1958
2459,2510,2537,1848,1895,1875,1861,1891,1861,1849,1842,1908,1825,1855,1813,1847,1868,1826,1911,1842,1873,1801,1893,1877,1918,1807,1861,1889,1939,1973,1883,1924,1860,1956,1905,1916,1839,1867,1888,1973,1864,1935,1969,1944,1964,1917,1954,1895,1927,1897,1894,1875
2530,2459,2468,2547,1752,1830,1899,1890,1794,1853,1904,1835,1822,1868,1885,1892,1860,1902,1826,1876,1855,1777,1838,1819,1901,1835,1808,1856,1871,1907,1865,1922,1948,1899,1877,1887,1898,1814,1888,1886,1846,1940,1910,1908,1867,1876,1906,1955,1929,1883,1952,1985
2403,2468,2484,2485,2560,1841,1809,1813,1774,1823,1724,1851,1889,1830,1918,1813,1827,1824,1801,1830,1891,1869,1912,1863,1789,1836,1796,1865,1874,1859,1882,1913,1850,1922,1852,1850,1845,1853,1894,1845,1915,1906,1878,1995,1937,1920,1945,1881,1836,1947,1828,1985
2480,2422,2426,2511,2542,2575,1714,1753,1826,1834,1780,1747,1752,1743,1875,1772,1822,1792,1860,1767,1900,1776,1787,1820,1772,1869,1907,1896,1788,1805,1886,1819,1852,1917,1855,1894,1816,1947,1884,1886,1839,1837,1952,1912,1798,1968,1977,1992,1953,1923,1851,1929
2353,2382,2409,2470,2535,2367,2411,1720,1791,1743,1739,1748,1788,1766,1845,1829,1841,1789,1793,1772,1750,1801,1870,1838,1874,1856,1873,1777,1803,1813,1807,1888,1852,1821,1780,1918,1820,1922,1818,1888,1917,1969,1944,1907,1861,1976,1941,1961,1857,1903,1974,1930
2384,2398,2475,2351,2447,2409,2408,2513,1735,1745,1812,1771,1774,1710,1749,1806,1798,1805,1821,1796,1842,1807,1819,1792,1778,1796,1768,1782,1787,1820,1815,1764,1848,1904,1818,1882,1757,1886,1874,1823,1877,1880,1908,1988,1845,1965,1806,1924,1947,1933,1966,1892
2208,2257,2425,2396,2362,2398,2454,2402,2479,1776,1673,1727,1804,1755,1798,1731,1776,1812,1753,1835,1804,1837,1742,1789,1766,1779,1824,1816,1812,1776,1834,1822,1862,1791,1809,1882,1831,1852,1855,1886,1764,1845,1853,1900,1929,1899,1868,1900,1931,2026,1996,1899
2356,2344,2226,2348,2424,2493,2399,2375,2387,2472,1683,1715,1829,1697,1756,1792,1827,1772,1676,1735,1793,1798,1842,1732,1771,1823,1826,1768,1753,1827,1772,1825,1843,1751,1784,1800,1849,1932,1825,1824,1838,1807,1802,1906,1868,1895,1864,1878,1939,2000,1869,1890
2222,2258,2341,2234,2296,2369,2301,2341,2358,2416,2448,1719,1730,1769,1728,1744,1700,1786,1747,1754,1734,1760,1746,1791,1762,1819,1891,1801,1796,1825,1789,1865,1710,1825,1804,1790,1784,1838,1862,1773,1898,1853,1850,1915,1828,1914,1841,1983,1943,1933,1851,1965
2237,2231,2199,2282,2291,2315,2269,2347,2344,2370,2415,2433,1799,1697,1773,1776,1662,1774,1686,1705,1739,1736,1659,1785,1778,1786,1765,1835,1744,1797,1813,1788,1812,1795,1802,1815,1872,1871,1841,1844,1861,1786,1832,1845,1913,1835,1860,1929,1935,1952,1826,1944
2153,2239,2232,2211,2211,2244,2286,2329,2334,2333,2298,2481,2414,1747,1671,1780,1725,1717,1775,1666,1693,1733,1749,1776,1719,1733,1749,1759,1753,1792,1818,1832,1828,1804,1793,1790,1820,1765,1805,1894,1823,1807,1879,1829,1902,1923,1824,1895,1864,1880,1985,1938
2217,2231,2229,2208,2267,2231,2296,2298,2323,2340,2365,2335,2230,2395,1668,1678,1700,1701,1654,1771,1679,1614,1712,1654,1697,1794,1777,1701,1762,1812,1715,1807,1759,1767,1748,1767,1819,1806,1868,1848,1838,1924,1834,1852,1944,1867,1948,1886,1916,1879,1936,1933
2077,2202,2137,2211,2246,2183,2236,2256,2263,2335,2319,2326,2411,2397,2421,1645,1656,1654,1691,1690,1726,1702,1670,1666,1692,1738,1735,1851,1840,1721,1786,1765,1770,1810,1733,1834,1737,1813,1718,1772,1806,1839,1882,1910,1811,1898,1889,1838,1857,1926,1882,2027
